Klient: /127.0.0.1 55576 Wynik: 4 Odpowiedzi: A, , A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56304 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56328 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56358 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56359 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56355 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56300 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56301 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56297 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56346 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56351 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56349 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56353 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56340 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56354 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56345 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56296 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56292 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56140 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56275 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56293 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56270 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56263 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56337 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56334 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56326 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56342 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56339 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56330 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56331 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56335 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56327 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56323 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56322 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56319 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56312 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56316 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56315 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56333 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56190 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56239 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56250 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56251 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56246 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56242 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56234 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56231 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56227 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56222 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56226 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56223 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56214 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56206 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56210 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56211 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56215 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56207 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56203 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56193 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56194 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56199 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56202 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56198 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56184 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56392 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56391 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56395 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56429 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56432 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56426 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56430 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56431 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56428 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56396 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56435 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56449 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56442 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56437 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56436 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56445 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56481 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56466 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56398 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56458 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56497 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56489 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56443 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56439 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56465 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56512 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56456 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56433 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56504 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56463 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56494 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56527 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56535 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56475 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56478 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56454 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56444 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56425 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56528 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56532 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56484 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56390 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56470 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56486 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56416 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56438 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56440 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56480 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56474 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56446 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56411 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56476 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56518 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56517 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56452 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56488 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56450 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56451 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56483 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56482 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56525 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56530 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56418 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56471 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56472 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56519 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56468 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56516 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56510 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56506 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56505 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56464 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56407 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56496 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56404 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56498 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56499 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56500 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56461 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56493 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56399 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56403 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56469 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56410 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56414 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56424 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56419 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56408 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56455 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56485 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56490 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56453 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56487 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56447 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56421 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56422 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56515 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56513 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56406 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56400 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56509 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56409 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56523 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56502 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56541 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56501 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56459 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56460 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56417 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56531 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56412 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56492 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56524 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56550 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56441 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56448 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56554 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56393 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56562 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56561 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56564 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56565 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56394 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56544 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56491 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56594 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56415 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56596 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56529 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56420 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56609 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56389 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56427 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56615 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56413 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56536 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56621 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56534 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56539 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56457 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56626 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56634 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56632 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56538 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56629 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56495 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56638 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56401 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56546 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56434 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56397 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56462 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56402 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56503 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56507 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56545 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56467 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56511 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56520 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56514 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56543 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56521 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56473 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56477 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56551 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56479 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56549 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56552 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56557 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56559 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56556 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56575 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56587 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56590 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56591 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56592 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56588 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56598 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56423 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56601 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56602 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56599 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56533 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56612 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56611 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56614 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56618 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56619 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56617 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56630 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
